workflow,model_family,strategy,variant_index,cost,gamma,un,ov,prec,rec,F1
mc.svm_UNDERT13,svm,UNDERT,13.0,10.0,0.01,0.4,,0.277213881740982,0.469859017536388,0.228364001297523
mc.svm_UNDERT14,svm,UNDERT,14.0,150.0,0.01,0.4,,0.358715522588505,0.488048251393772,0.460172197337028
mc.svm_UNDERT15,svm,UNDERT,15.0,300.0,0.01,0.4,,0.337965315992388,0.492890704526898,0.455416484296078
mc.svm_UNDERT16,svm,UNDERT,16.0,10.0,0.001,0.4,,1e-05,0.429396519434093,1.99995279035729e-05
mc.svm_UNDERT17,svm,UNDERT,17.0,150.0,0.001,0.4,,0.462530155190833,0.468067402922814,0.53942356703147
mc.svm_UNDERT18,svm,UNDERT,18.0,300.0,0.001,0.4,,0.518819768582261,0.471687823827179,0.538545829857447
mc.svm_UNDERT19,svm,UNDERT,19.0,10.0,0.01,0.6,,0.157026942968884,0.461587858392209,1.99995748376757e-05
mc.svm_UNDERT20,svm,UNDERT,20.0,150.0,0.01,0.6,,0.281203817243232,0.480886939841432,0.427902133017219
mc.svm_UNDERT21,svm,UNDERT,21.0,300.0,0.01,0.6,,0.273093659145503,0.483846316893133,0.411982184991442
mc.svm_UNDERT22,svm,UNDERT,22.0,10.0,0.001,0.6,,1e-05,0.42346957891734,1.99995249780247e-05
mc.svm_UNDERT23,svm,UNDERT,23.0,150.0,0.001,0.6,,0.076620683784404,0.450429527405134,1.99995504498483e-05
mc.svm_UNDERT24,svm,UNDERT,24.0,300.0,0.001,0.6,,0.0694069630336494,0.454203244982077,1.99995557032104e-05
mc.svm_UNDERT25,svm,UNDERT,25.0,10.0,0.01,0.8,,0.223042528886943,0.455159775744466,1.99995610641053e-05
mc.svm_UNDERT26,svm,UNDERT,26.0,150.0,0.01,0.8,,0.207959742992201,0.484056393768282,0.165745718758511
mc.svm_UNDERT27,svm,UNDERT,27.0,300.0,0.01,0.8,,0.318132013196514,0.486646425608935,0.419088105520715
mc.svm_UNDERT28,svm,UNDERT,28.0,10.0,0.001,0.8,,1e-05,0.421813348236138,1.9999523004241e-05
mc.svm_UNDERT29,svm,UNDERT,29.0,150.0,0.001,0.8,,1e-05,0.441768023752839,1.99995461134374e-05
mc.svm_UNDERT30,svm,UNDERT,30.0,300.0,0.001,0.8,,0.0971515845684498,0.447048380967815,1.99995507382812e-05
mc.svm_UNDERTPhi1,svm,UNDERTPhi,1.0,10.0,0.01,0.1,,0.500067182874902,0.512935747785561,0.505241367838401
mc.svm_UNDERTPhi2,svm,UNDERTPhi,2.0,150.0,0.01,0.1,,0.444457741139777,0.534924647876777,0.488394739277075
mc.svm_UNDERTPhi3,svm,UNDERTPhi,3.0,300.0,0.01,0.1,,0.423471790865537,0.524758491456368,0.474244969299202
mc.svm_UNDERTPhi4,svm,UNDERTPhi,4.0,10.0,0.001,0.1,,0.533316421659914,0.456993306007297,0.495446504754784
mc.svm_UNDERTPhi5,svm,UNDERTPhi,5.0,150.0,0.001,0.1,,0.476498955173063,0.49263621463817,0.480912513801375
mc.svm_UNDERTPhi6,svm,UNDERTPhi,6.0,300.0,0.001,0.1,,0.474167477928592,0.500675804903176,0.481638977369528
